"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 19 07:14:26 UTC 2023","Mon Jun 19 07:14:31 UTC 2023","4966","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Jun 19 07:07:17 UTC 2023","Mon Jun 19 07:07:35 UTC 2023","18095","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jun 19 07:22:43 UTC 2023","Mon Jun 19 07:22:54 UTC 2023","11184","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jun 19 07:33:32 UTC 2023","Mon Jun 19 07:33:45 UTC 2023","12414","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon Jun 19 06:57:48 UTC 2023","Mon Jun 19 06:57:59 UTC 2023","11436","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jun 19 06:57:07 UTC 2023","Mon Jun 19 06:57:10 UTC 2023","3063","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Mon Jun 19 07:22:41 UTC 2023","Mon Jun 19 07:22:43 UTC 2023","2245","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Jun 19 07:26:27 UTC 2023","Mon Jun 19 07:26:31 UTC 2023","4219","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Mon Jun 19 06:57:10 UTC 2023","Mon Jun 19 06:57:14 UTC 2023","4556","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Jun 19 07:23:15 UTC 2023","Mon Jun 19 07:23:18 UTC 2023","2484","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Jun 19 07:27:46 UTC 2023","Mon Jun 19 07:27:48 UTC 2023","2743","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Mon Jun 19 07:34:07 UTC 2023","Mon Jun 19 07:34:27 UTC 2023","19940","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Jun 19 07:22:11 UTC 2023","Mon Jun 19 07:22:20 UTC 2023","8572","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
